state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths,incident_duration
Michigan,Velika katastrofa,1980-09-08,Flood,Severe Storms & Flooding,0,0,1,0,1980-09-08,1980-09-08,Washtenaw County,Washtenaw (County),80068,366,19
Mississippi,Upravljanje hitnim situacijama,2020-10-28,Hurricane,Hurricane Zeta,0,0,1,0,2020-10-27,2020-10-29,Wayne County (Mississippi),Wayne (County),20319,567,13
Oklahoma,Upravljanje hitnim situacijama,2005-09-05,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Lincoln County (Oklahoma),Lincoln (County),5091,4909,4
Florida,Upravljanje hitnim situacijama,1999-09-14,Hurricane,Hurricane Floyd Emergency Declarations,0,0,1,0,1999-09-14,1999-09-16,Flagler County,Flagler (County),99085,1569,10
Missouri,Velika katastrofa,1973-04-19,Severe Storm,"Heavy Rains, Tornadoes & Flooding",0,1,1,0,1973-04-19,1973-04-19,Scotland County (Missouri),Scotland (County),73030,7994,19
Utah,Velika katastrofa,1983-04-30,Flood,"Severe Storms, Landslides & Flooding",0,0,1,0,1983-04-13,1983-04-13,Summit County (Utah),Summit (County),83026,73,2
Indiana,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Steuben County (Indiana),Steuben (County),5113,2497,11
West Virginia,Upravljanje hitnim situacijama,2012-06-30,Severe Storm,Severe Storms,0,0,1,0,2012-06-29,2012-07-10,Braxton County,Braxton (County),12042,455,3
Georgia,Velika katastrofa,1973-04-04,Tornado,Tornadoes & Flooding,0,1,1,0,1973-04-04,1973-04-04,Henry County (Georgia),Henry (County),73022,9519,22
Nevada,Upravljanje hitnim situacijama,2005-02-17,Snowstorm,Record And/Or Near Record Snow,0,0,1,0,2004-12-29,2005-01-02,Storey County,Storey (County),5016,5906,16
Kentucky,Velika katastrofa,2009-02-05,Severe Ice Storm,Severe Winter Storm And Flooding,0,0,1,1,2009-01-26,2009-02-13,Robertson County (Kentucky),Robertson (County),9013,8584,16
South Dakota,Velika katastrofa,1986-05-03,Flood,Severe Storms & Flooding,0,0,1,0,1986-03-22,1986-05-10,Spink County,Spink (County),86011,3764,12
Texas,Upravljanje požarom,1998-08-01,Fire,Weatherford Fire,0,0,1,0,1998-08-01,1998-08-02,Texas,Statewide,98143,4683,21
Missouri,Velika katastrofa,1993-07-09,Flood,Severe Storms & Flooding,0,1,1,0,1993-06-10,1993-10-25,Lincoln County (Missouri),Lincoln (County),93030,2539,10
California,Velika katastrofa,1995-03-12,Severe Storm,"Severe Winter Storms, Flooding Landslides, Mud Flow",0,1,1,0,1995-02-13,1995-04-19,Colusa County,Colusa (County),95017,1861,1
Missouri,Velika katastrofa,2008-06-25,Severe Storm,Severe Storms And Flooding,0,0,1,1,2008-06-01,2008-08-13,Pettis County,Pettis (County),8099,6108,6
Pennsylvania,Velika katastrofa,2004-09-19,Hurricane,Tropical Depression Ivan,1,1,1,1,2004-09-17,2004-10-01,Lycoming County,Lycoming (County),4119,7491,11
Maryland,Velika katastrofa,1996-01-11,Snowstorm,Blizzard Of 96 (Severe Snow Storm),0,0,1,0,1996-01-06,1996-01-12,Kent County (Maryland),Kent (County),96012,3065,23
Missouri,Velika katastrofa,1998-10-14,Severe Storm,"Severe Storms, Flooding And Tornadoes",0,1,1,0,1998-10-04,1998-10-11,Platte County (Missouri),Platte (County),98082,3744,17
Georgia,Velika katastrofa,2004-09-24,Hurricane,Tropical Storm Frances,0,0,1,1,2004-09-03,2004-10-30,Dougherty County,Dougherty (County),4118,6457,16
Louisiana,Upravljanje hitnim situacijama,2021-08-27,Hurricane,Tropical Storm Ida,0,0,1,0,2021-08-26,2021-09-03,Jackson Parish,Jackson (Parish),21089,6309,16
Nebraska,Velika katastrofa,2010-04-21,Flood,"Severe Storms, Ice Jams, And Flooding",0,0,1,1,2010-03-06,2010-04-03,Boone County (Nebraska),Boone (County),10039,276,20
New York,Upravljanje hitnim situacijama,2012-10-28,Hurricane,Hurricane Sandy,0,0,1,0,2012-10-27,2012-11-08,Chautauqua County (New York),Chautauqua (County),12108,7555,20
Kentucky,Velika katastrofa,2019-04-17,Severe Storm,"Severe Storms, Straight-Line Winds, Flooding, Landslides, And Mudslides",0,0,1,1,2019-02-06,2019-03-10,Lee County (Kentucky),Lee (County),19017,804,4
New York,Upravljanje hitnim situacijama,2012-10-28,Hurricane,Hurricane Sandy,0,0,1,0,2012-10-27,2012-11-08,Cayuga County,Cayuga (County),12108,9361,15
Florida,Velika katastrofa,2022-12-13,Hurricane,Hurricane Nicole,0,0,1,1,2022-11-07,2022-11-30,Marion County (Florida),Marion (County),22104,2593,18
Virginia,Velika katastrofa,2006-09-22,Severe Storm,"Tropical Depression Ernesto, Severe Storms And Flooding",0,0,1,1,2006-08-29,2006-09-07,Richmond city,Richmond,6149,6789,15
Washington,Upravljanje požarom,2015-08-14,Fire,Chelan Fire Complex,0,0,1,1,2015-08-14,2015-09-02,Douglas County (Washington),Douglas (County),15059,5008,8
New York,Velika katastrofa,2003-08-29,Severe Storm,"Severe Storms, Flooding, And Tornadoes",1,1,1,1,2003-07-21,2003-08-13,Allegany County (New York),Allegany (County),3092,459,18
Oklahoma,Upravljanje požarom,2011-08-05,Fire,265th West Fire,0,0,1,0,2011-08-05,2011-08-10,Tulsa County,Tulsa (County),11179,6796,4
California,Velika katastrofa,2017-04-01,Flood,"Severe Winter Storms, Flooding, And Mudslides",0,0,1,1,2017-02-01,2017-02-23,Lassen County,Lassen (County),17031,2745,3
Alaska,Upravljanje hitnim situacijama,2018-11-30,Earthquake,Earthquake,0,0,1,0,2018-11-30,2018-11-30,Kenai Peninsula Borough,Kenai Peninsula (Borough),18133,1299,11
New Mexico,Velika katastrofa,2006-08-30,Severe Storm,Severe Storms And Flooding,0,0,1,1,2006-07-26,2006-09-18,Mora County,Mora (County),6139,745,8
Iowa,Velika katastrofa,2004-05-25,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,1,1,2004-05-19,2004-06-24,Appanoose County,Appanoose (County),4032,5359,12
Georgia,Upravljanje hitnim situacijama,2017-09-08,Hurricane,Hurricane Irma,0,0,1,0,2017-09-07,2017-09-20,Spalding County,Spalding (County),17100,7312,10
Ohio,Velika katastrofa,2004-09-19,Severe Storm,Severe Storms And Flooding,1,1,0,1,2004-08-27,2004-09-27,Mahoning County,Mahoning (County),4117,1904,13
New York,Velika katastrofa,2003-05-12,Severe Ice Storm,Ice Storm,1,1,1,1,2003-04-03,2003-04-05,Seneca County (New York),Seneca (County),3036,6864,1
Mississippi,Upravljanje hitnim situacijama,2020-10-28,Hurricane,Hurricane Zeta,0,0,1,0,2020-10-27,2020-10-29,George County,George (County),20319,2156,5
South Dakota,Velika katastrofa,1993-07-19,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,1,0,1993-05-06,1993-09-10,Corson County,Corson (County),93034,1514,11
California,Upravljanje požarom,2003-06-29,Fire,Ca - Tejon Fire - 06-30-2003,0,0,1,0,2003-06-29,2003-07-02,Kern County,Kern (County),3061,3541,18
Maryland,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Anne Arundel County,Anne Arundel (County),5124,7409,8
Texas,Velika katastrofa,1961-09-16,Hurricane,Hurricane Carla,0,1,1,1,1961-09-16,1961-09-16,Texas,Statewide,61018,6234,3
Pennsylvania,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Cumberland County (Pennsylvania),Cumberland (County),5101,3552,6
Missouri,Upravljanje hitnim situacijama,2009-01-30,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2009-01-26,2009-01-28,Jackson County (Missouri),Jackson (County),9012,7564,12
Virginia,Velika katastrofa,2002-04-02,Severe Storm,Severe Storms And Flooding,0,1,1,1,2002-03-17,2002-03-20,Washington County (Virginia),Washington (County),2023,3160,23
Indiana,Velika katastrofa,2005-01-21,Severe Storm,Severe Winter Storms And Flooding,1,1,1,1,2005-01-01,2005-02-11,Sullivan County (Indiana),Sullivan (County),5007,9839,22
Utah,Velika katastrofa,1983-04-30,Flood,"Severe Storms, Landslides & Flooding",0,1,1,0,1983-04-13,1983-04-13,Salt Lake County,Salt Lake (County),83026,7201,13
Puerto Rico,Velika katastrofa,1979-09-02,Hurricane,Hurricane David,0,1,1,0,1979-09-02,1979-09-02,Carolina Municipio,Carolina (Municipio),79071,4679,14
Florida,Velika katastrofa,1985-03-18,Freezing,Severe Freeze,0,1,0,0,1985-03-18,1985-03-18,Charlotte County (Florida),Charlotte (County),85014,7268,8
Puerto Rico,Velika katastrofa,2011-08-27,Hurricane,Hurricane Irene,1,0,1,1,2011-08-21,2011-08-24,Jayuya Municipio,Jayuya (Municipio),11189,5786,9
North Carolina,Upravljanje hitnim situacijama,1993-03-17,Snowstorm,Severe Snowfall & Winter Storm,0,0,1,0,1993-03-13,1993-03-17,Caldwell County (North Carolina),Caldwell (County),93023,5465,7
Oklahoma,Velika katastrofa,2008-05-05,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2008-03-17,2008-03-23,Sequoyah County,Sequoyah (County),8056,6076,16
